openalex_id,display_name,wikidata_id
I114027177,University of North Carolina at Chapel Hill,https://www.wikidata.org/wiki/Q192334
I145311948,Johns Hopkins University,https://www.wikidata.org/wiki/Q193727
I99041443,Mississippi State University,https://www.wikidata.org/wiki/Q1939211
I107077323,Worcester Polytechnic Institute,https://www.wikidata.org/wiki/Q195046
I98704320,Icahn School of Medicine at Mount Sinai,https://www.wikidata.org/wiki/Q1950740
I117965899,University of Hawaiʻi at Mānoa,https://www.wikidata.org/wiki/Q2000129
I57328836,North Dakota State University,https://www.wikidata.org/wiki/Q2000624
I19648265,Wright State University,https://www.wikidata.org/wiki/Q2002085
I129975664,Albert Einstein College of Medicine,https://www.wikidata.org/wiki/Q2030894
I153901656,University of North Carolina Wilmington,https://www.wikidata.org/wiki/Q2092214
I127591826,University of Dayton,https://www.wikidata.org/wiki/Q2092392
I164936912,The University of Texas at El Paso,https://www.wikidata.org/wiki/Q2093110
I126820664,Vassar College,https://www.wikidata.org/wiki/Q2093794
I94658018,University of Memphis,https://www.wikidata.org/wiki/Q2094177
I51556381,University of Virginia,https://www.wikidata.org/wiki/Q213439
I155173764,Rochester Institute of Technology,https://www.wikidata.org/wiki/Q2140778
I20089843,Princeton University,https://www.wikidata.org/wiki/Q21578
I184616310,Illinois Wesleyan University,https://www.wikidata.org/wiki/Q2159219
I1331384533,University of Hawaii System,https://www.wikidata.org/wiki/Q217439
I219193219,Purdue University West Lafayette,https://www.wikidata.org/wiki/Q217741
I201448701,University of Washington,https://www.wikidata.org/wiki/Q219563
I177156846,South Dakota State University,https://www.wikidata.org/wiki/Q2302260
I128956969,Texas Christian University,https://www.wikidata.org/wiki/Q2302280
I133999245,University of Nevada Las Vegas,https://www.wikidata.org/wiki/Q2302311
I90871651,University of Toledo,https://www.wikidata.org/wiki/Q2302319
I6750721,University of Montana,https://www.wikidata.org/wiki/Q2302336
I184840846,Virginia Commonwealth University,https://www.wikidata.org/wiki/Q2303536
I27837315,University of Michigan–Ann Arbor,https://www.wikidata.org/wiki/Q230492
I170201317,University of Pittsburgh,https://www.wikidata.org/wiki/Q235034
I130238516,University of Minnesota,https://www.wikidata.org/wiki/Q238101
I177898655,Lamar University,https://www.wikidata.org/wiki/Q2393647
I149251103,Thomas Jefferson University,https://www.wikidata.org/wiki/Q2471216
I149251103,Thomas Jefferson University,https://www.wikidata.org/wiki/Q2471216
I922845939,Philadelphia University,https://www.wikidata.org/wiki/Q2471216
I922845939,Philadelphia University,https://www.wikidata.org/wiki/Q2471216
I888729015,University of Colorado Colorado Springs,https://www.wikidata.org/wiki/Q2495841
I4210115145,University of Minnesota Duluth,https://www.wikidata.org/wiki/Q2495874
I122266389,University of Nebraska at Omaha,https://www.wikidata.org/wiki/Q2495890
I1629065,Central Michigan University,https://www.wikidata.org/wiki/Q250205
I1743320,Palo Alto University,https://www.wikidata.org/wiki/Q2587890
I11883440,James Madison University,https://www.wikidata.org/wiki/Q258943
I160856358,University of San Diego,https://www.wikidata.org/wiki/Q262663
I154570441,University of California Santa Barbara,https://www.wikidata.org/wiki/Q263064
I87216513,Michigan State University,https://www.wikidata.org/wiki/Q270222
I83399316,Rockefeller University,https://www.wikidata.org/wiki/Q270272
I74973139,Carnegie Mellon University,https://www.wikidata.org/wiki/Q2712836
I165690674,Oregon Health & Science University,https://www.wikidata.org/wiki/Q282097
I52669646,Western Washington University,https://www.wikidata.org/wiki/Q284777
I181547552,Baylor College of Medicine,https://www.wikidata.org/wiki/Q2892284
I134446601,Berkeley College,https://www.wikidata.org/wiki/Q2897191
I4210105967,Texas A&M Health Science Center,https://www.wikidata.org/wiki/Q2901308
I200719446,Vanderbilt University,https://www.wikidata.org/wiki/Q29052
I4210140791,Irvine University,https://www.wikidata.org/wiki/Q30297326
I84475105,Embry–Riddle Aeronautical University,https://www.wikidata.org/wiki/Q3052113
I52357470,The Ohio State University,https://www.wikidata.org/wiki/Q309331
I111979921,Northwestern University,https://www.wikidata.org/wiki/Q309350
I189590672,Kansas State University,https://www.wikidata.org/wiki/Q31249
I106959904,Florida Institute of Technology,https://www.wikidata.org/wiki/Q3152650
I118118575,New Jersey Institute of Technology,https://www.wikidata.org/wiki/Q3272013
I20388574,SUNY Upstate Medical University,https://www.wikidata.org/wiki/Q3297997
I100005738,Brigham Young University,https://www.wikidata.org/wiki/Q332498
I184565670,Georgetown University,https://www.wikidata.org/wiki/Q333886
I196677622,New York Law School,https://www.wikidata.org/wiki/Q3339059
I161171246,West Chester University,https://www.wikidata.org/wiki/Q3443893
I131221577,Bucknell University,https://www.wikidata.org/wiki/Q3444679
I150913223,Texas Woman's University,https://www.wikidata.org/wiki/Q3468361
I185443292,Wayne State University,https://www.wikidata.org/wiki/Q349055
I144852770,The King's College,https://www.wikidata.org/wiki/Q3521483
I87424562,Ithaca College,https://www.wikidata.org/wiki/Q3540690
I83041322,Brooklyn College,https://www.wikidata.org/wiki/Q371625
I12912129,Northeastern University,https://www.wikidata.org/wiki/Q37548
I47251452,Wake Forest University,https://www.wikidata.org/wiki/Q392667
I165951966,The University of Texas Health Science Center at San Antonio,https://www.wikidata.org/wiki/Q4005868
I148314036,Uniformed Services University of the Health Sciences,https://www.wikidata.org/wiki/Q4114428
I181190671,New York Medical College,https://www.wikidata.org/wiki/Q4115972
I100633361,University of Massachusetts Dartmouth,https://www.wikidata.org/wiki/Q4118040
I126744593,University of Maryland Baltimore,https://www.wikidata.org/wiki/Q4119470
I926076166,Texas Tech University Health Sciences Center,https://www.wikidata.org/wiki/Q4119816
I97018004,Stanford University,https://www.wikidata.org/wiki/Q41506
I39587148,Wichita State University,https://www.wikidata.org/wiki/Q429561
I63772739,Florida Atlantic University,https://www.wikidata.org/wiki/Q429863
I193531525,George Washington University,https://www.wikidata.org/wiki/Q432637
I20382870,Missouri University of Science and Technology,https://www.wikidata.org/wiki/Q4380853
I4210094379,University of Texas Health Science Center at Dallas,https://www.wikidata.org/wiki/Q43896615
I204593131,College of Charleston,https://www.wikidata.org/wiki/Q4507421
I205023500,Chicago Kent College of Law,https://www.wikidata.org/wiki/Q4551377
I115441956,SUNY Buffalo State University,https://www.wikidata.org/wiki/Q4570064
I157725225,University of Illinois Urbana-Champaign,https://www.wikidata.org/wiki/Q457281
I1174212,University of Southern California,https://www.wikidata.org/wiki/Q4614
I71965598,Adelphi University,https://www.wikidata.org/wiki/Q4682076
I55061410,Air Force Institute of Technology,https://www.wikidata.org/wiki/Q4697913
I113508548,Albany State University,https://www.wikidata.org/wiki/Q4709390
I51713134,University of Colorado Anschutz Medical Campus,https://www.wikidata.org/wiki/Q4770537
I78577930,Columbia University,https://www.wikidata.org/wiki/Q49088
I63966007,Massachusetts Institute of Technology,https://www.wikidata.org/wiki/Q49108
I111088046,Boston University,https://www.wikidata.org/wiki/Q49110
I32971472,Yale University,https://www.wikidata.org/wiki/Q49112
I27804330,Brown University,https://www.wikidata.org/wiki/Q49114
I205783295,Cornell University,https://www.wikidata.org/wiki/Q49115
I107672454,Dartmouth College,https://www.wikidata.org/wiki/Q49116
I79576946,University of Pennsylvania,https://www.wikidata.org/wiki/Q49117
I103531236,Boston College,https://www.wikidata.org/wiki/Q49118
I6902469,Brandeis University,https://www.wikidata.org/wiki/Q49119
I121934306,Tufts University,https://www.wikidata.org/wiki/Q49120
I177605424,Amherst College,https://www.wikidata.org/wiki/Q49165
I22675022,Williams College,https://www.wikidata.org/wiki/Q49166
I100538780,Wesleyan University,https://www.wikidata.org/wiki/Q49167
I202524275,Smith College,https://www.wikidata.org/wiki/Q49204
I189731429,Wellesley College,https://www.wikidata.org/wiki/Q49205
I140172145,University of Connecticut,https://www.wikidata.org/wiki/Q49206
I161057412,University of New Hampshire,https://www.wikidata.org/wiki/Q49207
I57206974,New York University,https://www.wikidata.org/wiki/Q49210
I165799507,Rensselaer Polytechnic Institute,https://www.wikidata.org/wiki/Q49211
I91045830,Texas A&M University,https://www.wikidata.org/wiki/Q49212
I86519309,The University of Texas at Austin,https://www.wikidata.org/wiki/Q49213
I17301866,University of Alabama,https://www.wikidata.org/wiki/Q492318
I51504820,San Jose State University,https://www.wikidata.org/wiki/Q498526
I102322142,Rutgers The State University of New Jersey,https://www.wikidata.org/wiki/Q499451
I136722135,Claremont Graduate University,https://www.wikidata.org/wiki/Q50015
I102401767,University of Arkansas at Little Rock,https://www.wikidata.org/wiki/Q500154
I2613432,University of South Florida,https://www.wikidata.org/wiki/Q500606
I33213144,University of Florida,https://www.wikidata.org/wiki/Q501758
I166088655,Montclair State University,https://www.wikidata.org/wiki/Q5018694
I2800817003,Southern California University for Professional Studies,https://www.wikidata.org/wiki/Q5020984
I36788626,California University of Pennsylvania,https://www.wikidata.org/wiki/Q5021159
I66946132,University of Maryland College Park,https://www.wikidata.org/wiki/Q503415
I138006243,University of Arizona,https://www.wikidata.org/wiki/Q503419
I139787848,Capital University,https://www.wikidata.org/wiki/Q5035685
I71578702,University of Portland,https://www.wikidata.org/wiki/Q513658
I87339560,College of Marin,https://www.wikidata.org/wiki/Q5146760
I142393192,College of Staten Island,https://www.wikidata.org/wiki/Q5146845
I151808059,Colorado School of Public Health,https://www.wikidata.org/wiki/Q5148911
I4210151139,New York State College of Veterinary Medicine,https://www.wikidata.org/wiki/Q5171565
I87547150,Southern Illinois University Edwardsville,https://www.wikidata.org/wiki/Q519349
I131651094,University of Denver,https://www.wikidata.org/wiki/Q519427
I125467818,Dakota State University,https://www.wikidata.org/wiki/Q5210049
I146416000,University of Kansas,https://www.wikidata.org/wiki/Q52413
I156802259,Eastern Virginia Medical School,https://www.wikidata.org/wiki/Q5330559
I82497590,Auburn University,https://www.wikidata.org/wiki/Q540672
I94062374,Florida College,https://www.wikidata.org/wiki/Q5461285
I4210149442,Fusion Academy,https://www.wikidata.org/wiki/Q5510254
I138220800,Georgia College & State University,https://www.wikidata.org/wiki/Q5547419
I25041050,Augusta University,https://www.wikidata.org/wiki/Q5547686
I126863827,Pace University,https://www.wikidata.org/wiki/Q556098
I1281378812,Oak Ridge Associated Universities,https://www.wikidata.org/wiki/Q5583848
I47301684,Illinois State University,https://www.wikidata.org/wiki/Q558922
I880766802,Graduate School USA,https://www.wikidata.org/wiki/Q5592028
I189158971,United States Naval Academy,https://www.wikidata.org/wiki/Q559549
I4210092658,Harvard MIT Division of Health Sciences and Technology,https://www.wikidata.org/wiki/Q5676651
I85384741,Heidelberg University,https://www.wikidata.org/wiki/Q5698693
I263341422,Heritage Christian University,https://www.wikidata.org/wiki/Q5738742
I16820183,Illinois College,https://www.wikidata.org/wiki/Q574316
